Date,Cash Available,Cash Invested,Open,High,Low,Close
2010-02-08,100000,0,16.0499,16.148001,15.9535,16.070801
2010-02-09,100000,0,16.099899,16.099899,15.9607,15.9931
2010-02-10,100000,0,16.139999,16.139999,16.040001,16.068899
2010-02-11,100000,0,16.068899,16.09,16.031,16.0734
2010-02-15,100000,0,16.15,16.34,16.15,16.308001
2010-02-16,100000,0,16.360001,16.469999,16.312,16.460501
2010-02-17,100000,0,16.5,16.540001,16.370001,16.4816
2010-02-18,49287.796885,50829.950115,16.459999,16.459999,16.280001,16.317801
2010-02-19,100507.12203115001,0,16.280001,16.4484,16.26,16.3862
2010-02-22,49165.69203115001,51416.193115,16.65,16.65,16.482,16.506001
2010-02-23,49165.69203115001,51066.375499999995,16.49,16.49,16.3501,16.3937
2010-02-24,49165.69203115001,50477.952,16.4,16.42,16.190001,16.2048
2010-02-25,49165.69203115001,50556.76461500001,16.278999,16.279499,16.18,16.230101
2010-02-26,49165.69203115001,51417.432884999995,16.320499,16.540001,16.320499,16.506399
2010-03-02,49165.69203115001,51596.856884999994,16.509001,16.588499,16.5,16.563999
2010-03-03,101020.53633115001,0,16.650101,16.788601,16.620001,16.7766
2010-03-04,101020.53633115001,0,16.719999,16.802,16.719999,16.7946
2010-03-05,101020.53633115001,0,16.780001,16.780001,16.690001,16.714199
2010-03-08,101020.53633115001,0,16.700001,16.700001,16.6005,16.644199
2010-03-09,101020.53633115001,0,16.5,16.518999,16.43,16.4408
2010-03-10,101020.53633115001,0,16.5,16.51,16.43,16.4604
2010-03-11,101020.53633115001,0,16.33,16.33,16.2215,16.279699
2010-03-12,101020.53633115001,0,16.384001,16.3943,16.271,16.3741
2010-03-15,101020.53633115001,0,16.299999,16.299999,16.225,16.233999
2010-03-16,101020.53633115001,0,16.23,16.379999,16.211,16.360901
2010-03-17,101020.53633115001,0,16.549999,16.620001,16.4415,16.483999
2010-03-18,101020.53633115001,0,16.5,16.5,16.396,16.4293
2010-03-19,101020.53633115001,0,16.4695,16.488899,16.401501,16.440901
2010-03-22,50579.33821615001,50471.4105,16.370001,16.4,16.193001,16.2027
2010-03-23,50579.33821615001,50471.725115,16.230499,16.24,16.180099,16.202801
2010-03-25,50579.33821615001,50022.535885000005,16.049999,16.099001,16.01,16.058599
2010-03-26,50579.33821615001,49955.881115,16.094999,16.094999,16.0201,16.037201
2010-03-29,101524.9483123,0,16.18,16.5,16.059999,16.1367
2010-03-30,101524.9483123,0,16.15,16.186001,16.051001,16.1222
2010-03-31,101524.9483123,0,16.129999,16.149401,16.07,16.0823
2010-04-01,101524.9483123,0,16.09,16.188999,16.080999,16.1534
2010-04-05,101524.9483123,0,16.177999,16.277599,16.170601,16.184299
2010-04-06,51342.295197299994,50244.0155,16.295,16.295,16.110001,16.1297
2010-04-07,102026.77484345,0,16.15,16.294001,16.15,16.262699
2010-04-08,102026.77484345,0,16.330099,16.458,16.330099,16.429899
2010-04-09,102026.77484345,0,16.5,16.798,16.43,16.494499
2010-04-12,102026.77484345,0,16.5005,16.627001,16.5,16.582399
