Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-11-15,100483.36,0,472.0,475.790009,456.0,465.75
2021-11-16,100971.01298728,0,474.0,474.0,460.049988,464.809998
2021-11-17,101399.67698092,0,404.399994,469.0,404.399994,464.269989
2021-11-18,101827.81097456001,0,403.899994,524.599976,403.899994,457.670013
2021-11-22,102283.82298728001,0,517.200012,517.200012,430.200012,449.140015
2021-11-23,102698.07097456002,0,390.799988,476.100006,390.799988,455.670013
2021-11-24,103118.25496820002,0,396.399994,497.5,396.399994,453.429993
2021-11-25,103570.02698092003,0,480.600006,480.600006,426.200012,457.109985
2021-11-26,104025.50899364003,0,495.0,495.0,429.700012,446.01001
2021-11-29,104469.86100636004,0,419.200012,504.0,419.200012,439.540009
2021-11-30,104925.66100636004,0,447.0,447.0,430.0,439.73999
2021-12-01,105363.86500000005,0,413.399994,496.899994,413.399994,440.950012
2021-12-02,105824.96500000005,0,498.299988,498.299988,435.0,444.570007
2021-12-03,106287.12500000006,0,454.0,454.0,436.0,444.600006
2021-12-06,60124.12500000006,46270.06106,471.299988,471.299988,435.5,436.51001
2021-12-07,107208.79500000007,0,493.299988,493.299988,434.0,442.309998
2021-12-08,107635.44500000007,0,402.5,485.0,402.5,447.850006
2021-12-09,108105.15219470006,0,459.0,459.0,443.119995,448.079987
2021-12-10,108551.62420742007,0,485.0,485.0,421.200012,450.839996
2021-12-13,109021.20420742007,0,463.0,463.0,443.0,448.920013
2021-12-14,109488.66420742008,0,456.0,456.0,441.0,450.01001
2021-12-15,62530.66420742008,47308.859788,459.0,459.0,443.0,446.309998
2021-12-16,110402.91420742008,0,485.0,485.0,419.5,445.559998
2021-12-17,64388.313571420076,46091.978622,454.0,454.0,434.100006,434.829987
2021-12-20,111305.34521378008,0,441.0,441.0,417.25,422.660004
2021-12-21,111726.48320106007,0,474.0,474.0,397.299988,428.880005
2021-12-22,112153.76920742006,0,425.0,493.200012,403.100006,435.410004
2021-12-23,112606.38920742006,0,447.0,447.0,427.0,438.75
2021-12-24,113010.99122014004,0,381.700012,498.649994,381.700012,436.329987
2021-12-27,113431.91722650004,0,397.100006,501.799988,397.100006,437.549988
2021-12-28,113857.24222650004,0,485.0,485.0,401.25,441.059998
2021-12-29,114317.28222650004,0,447.0,447.0,434.0,440.130005
2021-12-30,114723.15622014005,0,382.899994,484.0,382.899994,437.160004
2021-12-31,115181.07622014005,0,481.0,484.0,432.0,443.820007
2022-01-03,115590.34222650004,0,386.100006,464.679993,386.100006,446.809998
2022-01-04,116035.54222650004,0,468.130005,468.130005,420.0,448.529999
2022-01-05,116495.58222650003,0,475.399994,475.399994,434.0,447.160004
2022-01-06,116942.43582438002,0,485.0,485.0,421.559998,446.910004
2022-01-07,117393.99582438002,0,505.0,505.0,426.0,450.070007
2022-01-10,117850.38942226002,0,495.0,495.0,430.559998,450.820007
2022-01-11,118299.61740954002,0,491.399994,491.399994,423.799988,451.75
2022-01-12,118767.20460424002,0,456.839996,478.899994,441.119995,453.290009
2022-01-13,119241.02460424002,0,463.0,463.0,447.0,456.339996
2022-01-14,119709.71420848003,0,515.700012,515.700012,442.160004,457.279999
2022-01-17,120131.38219576003,0,397.799988,516.700012,397.799988,459.070007
2022-01-18,72420.78155976003,47859.0,480.0,480.0,450.100006,451.5
2022-01-19,72892.49217036003,47837.798728,452.0,453.5,445.01001,451.299988
2022-01-20,121547.65881272004,0,457.0,457.0,441.0,450.950012
2022-01-21,121996.99280636004,0,478.0,478.0,423.899994,443.540009
2022-01-24,122406.04680000004,0,470.200012,470.200012,385.899994,427.950012
2022-01-25,122818.81079364003,0,498.649994,498.649994,389.399994,431.480011
2022-01-27,123255.55198198004,0,435.0,435.0,412.019989,423.390015
2022-01-28,123697.57198198004,0,436.0,442.799988,417.0,428.73999
2022-01-31,124148.07198198004,0,488.700012,488.700012,425.0,432.309998
2022-02-01,124600.69198198004,0,439.399994,495.0,427.0,437.220001
2022-02-02,125061.79198198004,0,447.0,447.0,435.0,444.109985
2022-02-03,125523.95198198005,0,444.5,446.899994,436.0,441.720001
2022-02-04,125950.07198198004,0,484.0,484.0,402.0,441.529999
2022-02-07,126377.41097562005,0,484.5,484.5,403.149994,438.619995
2022-02-08,126835.86097562005,0,445.0,445.0,432.5,437.119995
