Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-11-15,51113.86,49369.5,472.0,475.790009,456.0,465.75
2021-11-16,52194.84819927999,49269.859788,474.0,474.0,460.049988,464.809998
2021-11-17,52623.512192919996,49212.618834,404.399994,469.0,404.399994,464.269989
2021-11-18,102814.20457244001,0,403.899994,524.599976,403.899994,457.670013
2021-11-22,55661.37499516001,47608.84159,517.200012,517.200012,430.200012,449.140015
2021-11-23,104160.55298834,0,390.799988,476.100006,390.799988,455.670013
2021-11-24,104580.73698198001,0,396.399994,497.5,396.399994,453.429993
2021-11-25,56578.85058470001,48453.65841,480.600006,480.600006,426.200012,457.109985
2021-11-26,58695.46653152002,47277.06106,495.0,495.0,429.700012,446.01001
2021-11-29,106889.65021484002,0,419.200012,504.0,419.200012,439.540009
2021-11-30,60733.01127484002,46612.43894,447.0,447.0,430.0,439.73999
2021-12-01,108249.77859788001,0,413.399994,496.899994,413.399994,440.950012
2021-12-02,61586.45785588002,47124.420741999995,498.299988,498.299988,435.0,444.570007
2021-12-03,62516.682169300024,47127.600636,454.0,454.0,436.0,444.600006
2021-12-06,17682.497751660027,92540.12212,471.299988,471.299988,435.5,436.51001
2021-12-07,64615.069634260035,46884.859788,493.299988,493.299988,434.0,442.309998
2021-12-08,112395.42802014004,0,402.5,485.0,402.5,447.850006
2021-12-09,65368.65659284004,47496.478622,459.0,459.0,443.119995,448.079987
2021-12-10,65997.53243778006,47789.039575999996,485.0,485.0,421.200012,450.839996
2021-12-13,67148.52103154006,47585.521378,463.0,463.0,443.0,448.920013
2021-12-14,67976.29656332007,47701.06106,456.0,456.0,441.0,450.01001
2021-12-15,21887.508445920073,94617.719576,459.0,459.0,443.0,446.309998
2021-12-16,70312.34704380007,47229.359788,485.0,485.0,419.5,445.559998
2021-12-17,25907.42117168007,92183.957244,454.0,454.0,434.100006,434.829987
2021-12-20,74575.39079826006,44801.960424000004,441.0,441.0,417.25,422.660004
2021-12-21,74785.22828378007,45461.280529999996,474.0,474.0,397.299988,428.880005
2021-12-22,121128.40762544007,0,425.0,493.200012,403.100006,435.410004
2021-12-23,75073.52762544007,46507.5,447.0,447.0,427.0,438.75
2021-12-24,122450.70463816007,0,381.700012,498.649994,381.700012,436.329987
2021-12-27,122871.63064452006,0,397.100006,501.799988,397.100006,437.549988
2021-12-28,76544.59585652006,46752.359788,485.0,485.0,401.25,441.059998
2021-12-29,77570.73871240007,46653.780529999996,447.0,447.0,434.0,440.130005
2021-12-30,125096.93104134005,0,382.899994,484.0,382.899994,437.160004
2021-12-31,78509.93029934005,47044.920741999995,481.0,484.0,432.0,443.820007
2022-01-03,126434.56625512004,0,386.100006,464.679993,386.100006,446.809998
2022-01-04,79335.58636112003,47544.179894,468.130005,468.130005,420.0,448.529999
2022-01-05,80416.28763006002,47398.960424000004,475.399994,475.399994,434.0,447.160004
2022-01-06,81363.63083218003,47372.460424000004,485.0,485.0,421.559998,446.910004
2022-01-07,81953.95511842004,47707.420741999995,505.0,505.0,426.0,450.070007
2022-01-10,82807.92292372003,47786.920741999995,495.0,495.0,430.559998,450.820007
2022-01-11,83636.44086042003,47885.5,491.399994,491.399994,423.799988,451.75
2022-01-12,132468.38305512004,0,456.839996,478.899994,441.119995,453.290009
2022-01-13,84570.16347912003,48372.039575999996,463.0,463.0,447.0,456.339996
2022-01-14,85422.93316112005,48471.679894,515.700012,515.700012,442.160004,457.279999
2022-01-17,134800.99784134005,0,397.799988,516.700012,397.799988,459.070007
2022-01-18,39231.39720534005,95718.0,480.0,480.0,450.100006,451.5
2022-01-19,39231.39720534005,95675.597456,452.0,453.5,445.01001,451.299988
2022-01-20,88423.45257570005,47800.701272,457.0,457.0,441.0,450.950012
2022-01-21,90136.25390006005,47015.240954,478.0,478.0,423.899994,443.540009
2022-01-24,92667.99998524005,45362.701272,470.200012,470.200012,385.899994,427.950012
2022-01-25,93160.21109760007,45736.881166,498.649994,498.649994,389.399994,431.480011
2022-01-27,48717.610695940064,89758.68318,435.0,435.0,412.019989,423.390015
2022-01-28,95235.57673950007,45446.43894,436.0,442.799988,417.0,428.73999
2022-01-31,95762.12028090007,45824.859788,488.700012,488.700012,425.0,432.309998
2022-02-01,142497.84866678005,0,439.399994,495.0,427.0,437.220001
2022-02-02,142958.94866678005,0,447.0,447.0,435.0,444.109985
2022-02-03,143421.10866678006,0,444.5,446.899994,436.0,441.720001
2022-02-04,97045.04877278005,46802.179894,484.0,484.0,402.0,441.529999
2022-02-07,98248.86998936004,46493.719470000004,484.5,484.5,403.149994,438.619995
2022-02-08,99331.25718406006,46334.719470000004,445.0,445.0,432.5,437.119995
2022-02-09,99699.73363676005,46845.640212,484.0,484.0,392.5,441.940002
2022-02-10,100499.44003888004,46978.140212,448.0,448.0,437.5,443.190002
2022-02-11,55393.46228900006,92675.798728,500.799988,500.799988,436.0,437.149994
2022-02-14,59398.299904640044,89631.481908,443.0,443.0,421.309998,422.790009
2022-02-15,104531.50948170005,45657.381166,460.799988,460.799988,397.399994,430.730011
2022-02-16,105335.76403536004,45755.960424000004,443.0,443.0,421.0,431.660004
2022-02-17,60256.78406360006,91425.0,484.0,484.0,430.0,431.25
2022-02-18,107517.57326924005,45374.359788,435.899994,436.0,405.399994,428.059998
2022-02-21,63917.71623112004,89688.719576,477.25,477.25,420.600006,423.059998
2022-02-22,109959.19816608004,44702.320106,472.25,472.25,397.700012,421.720001
2022-02-23,110407.70408878005,45121.021378,434.0,434.0,396.399994,425.670013
2022-02-24,156404.04168692004,0,400.100006,430.0,399.649994,403.299988
2022-02-25,112609.18642128006,44196.701272,444.25,444.25,379.100006,416.950012
2022-02-28,113061.55404588005,44618.579258000005,450.0,450.0,407.809998,420.929993
2022-03-02,158514.49110918006,0,366.200012,450.0,366.200012,420.100006
2022-03-03,69555.05216918007,89302.87788,429.0,429.0,418.0,421.23999
2022-03-04,72612.34454458006,86981.481908,429.399994,429.399994,408.5,410.290009
2022-03-07,73026.80454458005,85641.640212,406.899994,409.0,391.0,403.970001
2022-03-08,73447.63515518006,86019.0,411.0,411.0,397.01001,405.75
2022-03-09,161536.59351872007,0,415.0,415.0,405.0,412.410004
2022-03-10,117589.73542544007,44357.820106,461.299988,461.299988,387.700012,418.470001
2022-03-11,118222.41825614008,44585.719470000004,472.899994,472.899994,393.399994,420.619995
2022-03-14,119040.75912648009,44632.359788,448.700012,448.700012,395.399994,421.059998
2022-03-15,120372.1817703601,44182.920741999995,427.0,427.0,411.0,416.820007
2022-03-16,120254.94523400009,45177.201272,438.700012,438.700012,410.579987,426.200012
2022-03-17,120596.06510282008,45712.5,445.700012,445.700012,400.609985,431.25
2022-03-21,121872.7295204601,45324.539575999996,458.700012,458.700012,407.149994,427.589996
2022-03-22,122734.2324258601,45342.56106,463.700012,463.700012,402.149994,427.76001
2022-03-23,123536.39983846007,45440.079258000005,436.0,436.0,421.0,428.679993
2022-03-24,124317.24936210009,45558.798728,464.700012,464.700012,419.970001,429.799988
2022-03-25,125314.4949113801,45445.381166,468.899994,468.899994,404.0,428.730011
2022-03-28,126262.90999504009,45397.679894,436.0,436.0,421.0,428.279999
2022-03-29,81238.6459459801,91227.84148399999,464.700012,464.700012,427.0,430.320007
2022-03-30,81550.62462340007,91789.640212,468.700012,468.700012,429.980011,432.970001
2022-03-31,82254.41259012008,92035.56105999999,464.700012,464.700012,430.809998,434.130005
2022-04-01,175270.56830494007,0,392.149994,464.679993,392.149994,438.269989
2022-04-04,175730.98988904007,0,445.0,463.25,434.359985,447.910004
2022-04-05,176198.44988904006,0,441.0,454.100006,441.0,451.23999
2022-04-06,176634.69287632007,0,452.25,464.0,411.549988,452.299988
2022-04-07,177070.98888268005,0,411.600006,511.100006,411.600006,451.190002
2022-04-08,177543.74888268003,0,459.0,459.130005,446.0,458.299988
2022-04-11,178024.03488904002,0,461.049988,468.0,453.100006,463.529999
2022-04-12,178451.53287632,0,403.299988,495.0,403.299988,456.040009
2022-04-13,178914.76348692,0,437.01001,485.0,437.01001,458.670013
2022-04-18,179391.62568162,0,456.350006,459.980011,449.869995,455.579987
2022-04-19,132265.18213738003,47592.93894,459.040009,485.0,440.089996,448.98999
2022-04-20,133077.17277032003,47723.320106,467.279999,467.279999,440.040009,450.220001
2022-04-21,181752.64848692002,0,456.779999,457.0,448.040009,455.309998
2022-04-22,134186.21973352,48033.899364,484.0,484.0,441.01001,453.149994
2022-04-25,87592.07545012,94081.359788,453.100006,453.100006,421.26001,443.779999
2022-04-26,184087.80729964,0,449.940002,501.5,443.779999,453.769989
2022-04-27,89267.62740564,95128.640212,468.799988,468.799988,445.809998,448.720001
2022-04-28,185508.19668904002,0,454.230011,475.600006,445.459991,453.570007
2022-04-29,138353.5348901,47620.5,462.570007,462.570007,439.470001,449.25
2022-05-02,92174.89830010003,94634.68318,507.700012,507.700012,443.0,446.390015
2022-05-04,187804.69729964004,0,388.399994,486.600006,388.399994,434.459991
2022-05-05,188237.60129328002,0,408.399994,447.0,408.399994,435.440002
2022-05-06,98233.00065728003,90286.56105999999,492.0,492.0,423.220001,425.880005
2022-05-09,100648.84539164006,88764.402544,469.690002,481.200012,416.100006,418.700012
2022-05-10,147093.59637872007,43352.93894,474.0,474.0,400.0,408.98999
2022-05-11,148014.67013084007,43289.34159,458.0,458.0,399.950012,408.390015
2022-05-12,149919.79955438006,42224.039575999996,458.0,458.0,383.899994,398.339996
2022-05-13,150997.13003074005,41972.820106,458.0,458.0,381.01001,395.970001
2022-05-16,151258.94960674006,42546.280529999996,458.0,458.0,392.029999,401.380005
2022-05-17,151140.73757040006,43504.521378,458.0,458.0,391.100006,410.420013
2022-05-18,151766.84820818005,43729.240954,468.0,468.0,392.25,412.540009
2022-05-19,153810.04093572006,42543.100636,458.0,458.0,396.0,401.350006
2022-05-20,154140.49657172005,43062.5,444.25,444.25,400.399994,406.25
2022-05-23,155233.72853208007,42819.759046,444.0,444.0,396.100006,403.959991
2022-05-24,113781.32548654007,84897.518092,442.25,442.25,398.600006,400.459991
2022-05-25,116030.71014336008,83491.957244,440.0,440.0,392.0,393.829987
2022-05-26,200569.8957462801,0,400.0,400.0,385.119995,398.0
2022-05-27,158523.1508268801,42466.780529999996,438.0,438.0,396.26001,400.630005
2022-05-30,158310.7690307801,43520.420741999995,438.0,438.0,393.01001,410.570007
2022-05-31,159082.0138965401,43613.701272,438.0,438.0,405.019989,411.450012
2022-06-01,160330.9608045401,43210.899364,422.459991,422.459991,386.799988,407.649994
2022-06-02,160988.92358160013,43413.359788,420.0,420.0,404.070007,409.559998
2022-06-03,119295.47802748016,85639.518092,428.0,428.0,403.029999,403.959991
2022-06-06,206105.22635688016,0,400.809998,428.0,390.0,402.630005
2022-06-07,121688.94582688017,84668.56105999999,424.0,424.0,397.0,399.380005
2022-06-08,122673.02937418019,84590.12212,415.350006,415.350006,396.049988,399.01001
2022-06-09,207792.15276006018,0,399.230011,404.25,395.26001,401.290009
2022-06-10,166051.95051478018,42154.079258000005,418.0,418.0,390.450012,397.679993
2022-06-13,126338.71077736019,82533.719576,414.0,414.0,387.0,389.309998
2022-06-14,168477.59175960015,41378.15841,409.399994,409.399994,382.350006,390.359985
2022-06-15,169197.71164770014,41470.381166,394.23999,398.600006,387.470001,391.230011
2022-06-16,129624.17069676012,81234.15851600001,417.899994,417.899994,381.5,383.179993
2022-06-17,131694.01201934015,79974.87788,403.899994,403.899994,375.559998,377.23999
2022-06-20,173009.68267462016,39671.56106,383.589996,386.0,370.25,374.26001
2022-06-21,172897.60040522018,40570.43894,399.950012,399.950012,368.0,382.73999
2022-06-22,174238.40341840015,40028.780529999996,386.890015,390.0,371.170013,377.630005
2022-06-23,215062.32175370015,0,384.0,384.0,372.5,380.609985
2022-06-24,215461.79333780013,0,387.140015,399.98999,376.859985,386.660004
2022-06-27,174529.89217180014,41337.881166,403.98999,403.98999,383.0,389.980011
2022-06-28,175283.10794382013,41386.640212,399.98999,399.98999,366.600006,390.440002
2022-06-29,135296.13275594014,82124.56105999999,392.890015,398.399994,384.200012,387.380005
2022-06-30,136333.42831596013,81728.12212,397.399994,397.399994,384.0,385.51001
2022-07-01,177760.89072856016,41359.079258000005,397.399994,397.399994,380.0,390.179993
2022-07-04,178323.06998172015,41619.84159,399.98999,399.98999,386.179993,392.640015
2022-07-05,179005.59382162016,41761.881166,397.959991,397.959991,385.25,393.980011
2022-07-06,221594.51879928017,0,398.0,400.339996,386.25,399.679993
2022-07-07,179140.73303188017,42868.521378,413.98999,413.98999,391.26001,404.420013
2022-07-08,179906.49962366017,42956.5,409.48999,409.48999,401.0,405.25
2022-07-11,180157.58277236018,43508.759046,444.0,444.0,352.619995,410.459991
2022-07-12,180582.65338296018,43402.759046,410.0,412.0,401.01001,409.459991
2022-07-13,181498.04604812016,43457.881166,418.880005,418.880005,405.119995,409.980011
2022-07-14,225816.89102578018,0,402.25,415.940002,402.25,408.329987
2022-07-15,182627.19102578016,43619.0,419.679993,419.679993,405.0,411.5
2022-07-18,183020.66197850014,44097.06106,424.880005,424.880005,410.700012,416.01001
2022-07-19,183456.97917320015,44447.920741999995,417.899994,419.980011,411.619995,419.320007
2022-07-20,183887.36240840016,44542.259046,425.950012,425.950012,410.01001,420.209991
2022-07-21,184245.0272713202,45065.899364,433.880005,433.880005,411.209991,425.149994
2022-07-22,139619.0272713202,90021.56105999999,428.880005,428.880005,421.0,424.630005
2022-07-25,140078.0067413202,89837.12212,427.920013,427.920013,420.880005,423.76001
2022-07-26,96610.45965262018,133035.30190800002,427.059998,427.059998,416.809998,418.350006
2022-07-27,186460.9466935802,44615.399364,421.890015,422.809998,413.450012,420.899994
2022-07-28,186907.2066935802,45139.039575999996,426.0,427.0,421.0,425.839996
2022-07-29,232873.2050512202,0,431.390015,432.799988,424.0,432.100006
2022-08-01,233323.5566353202,0,435.690002,438.5,424.859985,437.519989
2022-08-02,233784.1266353202,0,440.23999,440.23999,434.5,439.399994
2022-08-03,187831.01713992018,46398.320106,443.48999,443.48999,420.01001,437.720001
2022-08-04,235152.6714533402,0,441.040009,445.0,433.350006,440.029999
2022-08-05,235609.5632522802,0,431.029999,444.0,431.029999,440.190002
2022-08-08,236072.7832522802,0,442.0,442.839996,437.0,442.149994
2022-08-10,189696.7221922802,46812.780529999996,445.440002,445.440002,437.51001,441.630005
2022-08-11,189924.11489748023,47073.539575999996,449.540009,449.540009,435.01001,444.089996
2022-08-12,190391.97770278025,47379.881166,446.5,447.579987,441.380005,446.980011
2022-08-16,238381.66468726023,0,450.839996,454.399994,420.200012,452.75
2022-08-17,238854.42468726024,0,446.0,459.0,446.0,457.540009
2022-08-18,239276.41069362024,0,398.100006,462.0,398.100006,460.839996
2022-08-19,191545.88323634025,48189.719470000004,464.48999,464.48999,433.200012,454.619995
2022-08-22,191965.11323634023,47404.259046,395.5,459.0,395.5,447.209991
2022-08-23,192400.88982044024,47719.079258000005,411.109985,451.549988,411.109985,450.179993
2022-08-24,192872.65341832023,47857.93894,451.5,452.450012,445.059998,451.48999
2022-08-25,193313.08341832022,47890.798728,415.5,456.290009,415.5,451.799988
2022-08-26,146003.82220302025,96411.237668,471.0,471.0,450.709991,454.769989
2022-08-29,146470.76281362024,96021.15851600001,454.769989,454.769989,440.51001,452.929993
2022-08-30,243889.6366671202,0,456.779999,462.679993,451.119995,462.179993
2022-09-01,195482.72246148024,48886.140212,489.899994,489.899994,452.100006,461.190002
2022-09-02,196498.54188090027,48839.5,484.399994,484.399994,453.130005,460.75
2022-09-05,147880.58145690028,97742.597456,465.0,465.0,458.660004,461.049988
2022-09-06,246798.16008302028,0,464.630005,468.399994,458.059998,464.589996
2022-09-07,247285.0710893803,0,464.940002,466.5,459.350006,466.01001
2022-09-08,198256.61473678032,49509.420741999995,474.700012,474.700012,453.73999,467.070007
2022-09-09,248691.91367984033,0,406.399994,474.399994,406.399994,467.179993
2022-09-12,249179.83166712034,0,467.5,472.48999,460.299988,472.029999
2022-09-13,249179.83166712034,0,474.899994,478.0,472.049988,475.23999
2022-09-14,249675.11666712034,0,474.940002,478.440002,467.25,476.670013
2022-09-15,250178.73325122034,0,480.540009,480.950012,475.109985,480.380005
2022-09-16,151489.5533572203,99029.43894000001,486.0,486.0,463.910004,467.119995
2022-09-19,201645.91298970033,49624.960424000004,469.600006,471.0,462.410004,468.160004
2022-09-20,201887.71859440033,50083.93894,476.0,476.579987,469.51001,472.48999
2022-09-21,252153.46026500032,0,469.549988,474.98999,465.019989,466.269989
2022-09-22,252642.5018491003,0,466.899994,469.279999,461.359985,468.170013
2022-09-23,155232.7395171003,97509.402544,469.700012,469.700012,459.01001,459.950012
2022-09-26,109755.57394370029,142311.356502,464.399994,464.399994,445.109985,447.519989
2022-09-27,205791.1365506003,47545.240954,450.899994,452.850006,443.959991,448.540009
2022-09-28,158893.55729260028,94446.0,448.950012,450.200012,442.429993,445.5
2022-09-29,112128.93244918028,141360.539682,449.899994,451.869995,443.5,444.529999
2022-09-30,256443.67242684026,0,441.0,511.200012,439.309998,447.75
2022-10-03,163784.83083684024,92970.481908,450.700012,451.480011,435.600006,438.540009
2022-10-04,257837.72084274024,0,445.890015,452.0,441.0,448.829987
2022-10-06,257837.72084274024,0,452.799988,453.980011,448.950012,452.269989
2022-10-07,258254.83084274025,0,455.070007,481.98999,393.5,451.559998
2022-10-10,258704.81145334025,0,449.0,449.700012,424.51001,447.160004
2022-10-11,165366.51272534026,93682.798728,450.0,455.0,438.649994,441.899994
2022-10-12,260078.51843426027,0,415.399994,449.399994,415.399994,443.059998
2022-10-13,167214.03981226028,93019.237668,445.0,445.0,437.309998,438.769989
2022-10-14,168396.0229024803,92673.68318,448.0,448.0,436.549988,437.140015
2022-10-17,215592.39440398032,46603.960424000004,438.950012,441.149994,433.329987,439.660004
2022-10-18,262392.6044098803,0,444.0,444.839996,440.660004,444.420013
2022-10-19,262392.6044098803,0,447.200012,447.339996,443.0,443.720001
2022-10-20,262392.6044098803,0,443.98999,449.200012,441.25,448.140015
2022-10-21,168804.1439858803,93788.798728,454.399994,454.399994,440.51001,442.399994
2022-10-24,169354.1903921203,94380.280424,499.899994,499.899994,441.359985,445.190002
2022-10-25,169727.6903862203,94053.798728,448.0,449.0,442.25,443.649994
2022-10-27,264737.0170003403,0,443.649994,454.0,443.649994,447.779999
2022-10-28,217640.15721234027,47375.640212,451.399994,451.399994,444.309998,446.940002
2022-10-31,217916.08623422025,47643.820106,451.790009,451.799988,446.149994,449.470001
2022-11-01,265680.90459186025,0,452.799988,456.0,450.299988,454.769989
2022-11-02,217733.92596986025,48062.521378,458.0,458.0,452.329987,453.420013
2022-11-03,170086.92596986025,96142.0,454.5,454.899994,449.5,453.5
2022-11-04,218210.39596986026,48164.280529999996,456.0,456.0,452.600006,454.380005
2022-11-07,218406.84437808028,48593.579258000005,463.0,463.0,455.0,458.429993
2022-11-09,218793.74501408025,48504.539575999996,461.200012,462.399994,455.899994,457.589996
2022-11-10,123042.88522608025,144057.18318,459.5,459.5,450.299988,453.01001
2022-11-11,171806.28813560025,96981.518092,465.0,465.0,455.309998,457.459991
