Date,Cash Available,Cash Invested,Open,High,Low,Close
2009-01-02,100000,0,30.6,30.945,30.299999,30.556
2009-01-05,100000,0,30.700001,31.370001,30.700001,31.174999
2009-01-06,100500.05303634,0,31.1,31.48,30.603001,31.124001
2009-01-07,53153.27067034,47819.008366,31.379999,31.5,28.9,29.264999
2009-01-09,53611.280886680004,47149.07,29.0,29.5,28.030001,28.855
2009-01-12,7042.280886680004,90608.568,28.5,28.75,27.559999,27.726
2009-01-13,7042.280886680004,90317.712732,27.700001,28.190001,27.511,27.636999
2009-01-14,54076.97088668001,46555.929634,27.799999,28.799999,27.799999,28.492001
2009-01-15,8349.479252680008,90360.2,27.985001,28.065001,27.299999,27.65
2009-01-16,54534.24580302001,46586.974,27.85,28.690001,27.719999,28.511
2009-01-19,54992.82791936,46480.762366,28.065001,28.709999,28.065001,28.445999
2009-01-20,55446.753135700004,46265.074366,28.389999,28.549999,27.780001,28.313999
2009-01-21,10822.214769700004,89987.644732,28.200001,28.200001,27.309999,27.535999
2009-01-22,11448.196885359997,89379.8,27.9,27.9,27.200001,27.35
2009-01-23,12154.084901699993,88925.548,27.4,27.6,27.040001,27.211
2009-01-27,56779.280152039995,45296.115634,27.301001,27.85,27.25,27.721001
2009-01-28,56779.280152039995,46562.464,27.865,28.589001,27.865,28.496
2009-01-29,10945.581786039998,92343.876,28.611,28.799999,28.049999,28.257
2009-01-30,57237.6171357,47335.346000000005,28.0,29.101,27.900999,28.969
2009-02-02,11403.918769700002,92059.56000000001,28.85,28.85,28.049999,28.17
2009-02-03,58153.474119360006,46227.494,28.299999,28.599001,28.0,28.291
2009-02-04,12497.880119360008,91840.60726799999,28.5,28.688999,27.941,28.103001
2009-02-05,13152.150059360007,91569.36,28.299999,28.5,27.82,28.02
2009-02-06,59064.60885936001,46763.444365999996,28.200001,28.780001,28.200001,28.618999
2009-02-09,59064.60885936001,47921.950366,28.789,29.4,28.625999,29.327999
2009-02-10,107835.66730902,0,29.389,29.700001,29.0,29.556
2009-02-11,108311.16130902001,0,29.1,29.6,29.0,29.450001
2009-02-12,60925.16130902001,47618.028,29.4,29.450001,29.0,29.142
2009-02-13,108785.02130902001,0,29.549,29.9,29.315001,29.815001
2009-02-16,15741.79330902001,93275.25600000001,29.700001,29.815001,28.4,28.542
2009-02-17,15741.79330902001,91203.347268,28.299999,28.34,27.711,27.908001
2009-02-18,15741.79330902001,91990.932,27.965,28.48,27.709999,28.149
2009-02-19,15741.79330902001,92481.132,28.200001,28.379999,28.000999,28.299
2009-02-20,15741.79330902001,89830.787268,27.948999,27.948999,27.295,27.488001
