Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-11-29,51259.22521796,49090.300798000004,187.660004,187.660004,180.100006,184.550003
2021-11-30,3110.827959940012,97728.39840399999,188.0,188.0,183.210007,183.699997
2021-12-01,101779.29565054002,0,187.5,187.5,183.100006,185.720001
2021-12-02,102138.55223724003,0,186.919998,188.190002,184.509995,187.990005
2021-12-03,3253.05223724003,98952.0,192.5,192.5,185.75,186.0
2021-12-06,5556.867769240016,97361.31734000001,192.399994,192.399994,182.800003,183.009995
2021-12-07,54524.96598588002,49398.861862,190.0,190.0,180.100006,185.710007
2021-12-08,54511.04614912003,50135.678936,191.0,191.0,185.710007,188.479996
2021-12-09,55063.24775112004,50311.239733999995,192.5,192.5,187.160004,189.139999
2021-12-10,106101.43988246004,0,185.0,192.5,185.0,189.089996
2021-12-13,6218.439882460036,99962.796808,192.399994,192.399994,187.600006,187.899994
2021-12-14,107189.15049310004,0,188.149994,192.399994,184.910004,187.330002
2021-12-15,8316.951291100042,99085.0,192.0,192.0,185.449997,186.25
2021-12-16,9061.873815120052,99281.83734,190.0,190.0,185.0,186.619995
2021-12-17,11342.400607820047,97765.642128,190.0,190.0,182.0,183.770004
2021-12-20,61831.25276042006,47861.378138,187.5,187.5,177.850006,179.929993
2021-12-21,13896.00547780007,96531.39840399999,185.0,185.0,180.0,181.449997
2021-12-22,111092.47467980009,0,185.0,185.0,180.050003,183.330002
2021-12-23,13310.873083800085,97941.203192,187.5,187.5,183.5,184.100006
2021-12-24,63359.037509720096,48797.699201999996,187.5,187.5,180.100006,183.449997
2021-12-27,63767.8129057401,49090.300798000004,187.490005,187.490005,178.0,184.550003
2021-12-28,64127.17591372011,49555.800798000004,187.449997,187.449997,184.550003,186.300003
2021-12-29,64423.831049700115,49507.91867,188.899994,188.899994,182.5,186.119995
2021-12-30,64423.831049700115,49513.239733999995,186.720001,187.449997,185.300003,186.139999
2021-12-31,114655.24789044012,0,188.0,188.770004,185.149994,187.789993
2022-01-03,115015.60589842012,0,190.0,190.949997,185.300003,190.720001
2022-01-04,64187.79602844013,51194.361862,198.910004,198.910004,189.199997,192.460007
2022-01-05,116127.51951704013,0,195.0,195.0,191.300003,193.339996
2022-01-06,65388.01951704013,51050.719467999996,193.0,193.0,190.75,191.919998
2022-01-07,65585.79611304012,51183.719467999996,194.0,194.0,191.399994,192.419998
2022-01-10,116869.59850108012,0,193.699997,194.5,192.449997,194.350006
2022-01-11,65465.09850108012,51787.540532,196.0,196.0,193.25,194.690002
2022-01-12,65361.62270308012,52189.199201999996,197.5,197.5,195.050003,196.199997
2022-01-13,65541.23571106012,52402.0,198.800003,198.800003,195.800003,197.0
2022-01-14,13504.384251040108,104995.52053200001,199.850006,199.850006,195.5,197.360001
2022-01-17,66474.57437772013,52675.979734,223.0,223.0,195.699997,198.029999
2022-01-18,14444.972781720127,104256.040532,199.0,199.0,195.600006,195.970001
2022-01-19,16927.291787020135,103303.756276,221.399994,221.399994,193.0,194.179993
2022-01-20,17807.350191020138,102239.756276,195.800003,195.800003,191.100006,192.179993
2022-01-21,17807.350191020138,101420.47946799999,191.990005,191.990005,189.220001,190.639999
2022-01-24,22662.79578636014,98840.276276,196.800003,196.800003,184.050003,185.789993
2022-01-25,72334.50260032015,49760.621862,185.490005,187.380005,183.050003,187.070007
2022-01-27,73173.96357972016,49297.780532000004,194.0,194.0,182.699997,185.330002
2022-01-28,24438.77952304016,98473.203192,187.75,188.059998,184.800003,185.100006
2022-01-31,74003.67961098018,49909.58133,199.880005,199.880005,185.25,187.630005
2022-02-01,124621.8693569402,0,190.800003,190.800003,178.110001,189.699997
2022-02-02,124989.75134896018,0,194.0,194.0,189.699997,192.119995
2022-02-03,24013.491082960187,101085.31734000001,195.0,195.0,189.600006,190.009995
2022-02-04,25018.47634562019,100861.87787200001,193.0,193.0,189.009995,189.589996
2022-02-07,27579.531257680195,99132.87787200001,193.0,193.0,185.389999,186.339996
2022-02-08,77851.2022463802,49691.459468,190.0,190.0,184.5,186.809998
