Date,Cash Available,Cash Invested,Open,High,Low,Close
2010-02-08,10000,0,16.0499,16.148001,15.9535,16.070801
2011-01-03,4572.944468479998,6305.988,20.190001,20.226999,20.15,20.2115
2012-01-02,3298.395543999999,8172.059688,26.110001,26.239,26.110001,26.192499
2013-01-01,2735.0149086400033,9061.403208,29.042959,29.042959,29.042959,29.042959
2014-01-01,2735.0149086400033,8499.815999999999,27.17,27.32,27.150499,27.243
2015-01-01,2735.0149086400033,7663.811688,24.599501,24.629,24.43,24.563499
2016-01-01,2735.0149086400033,7114.224,22.849501,22.85,22.750999,22.802
2017-01-02,2735.0149086400033,7982.052000000001,25.599501,25.688499,25.410999,25.5835
2018-01-01,2735.0149086400033,8248.032312000001,26.308001,26.497,26.308001,26.436001
2019-01-01,2735.0149086400033,8791.535688,28.02,28.2995,27.921,28.177999
2020-01-01,2130.795964080002,10717.199376,34.799999,34.799999,34.25,34.349998
2021-01-01,6561.495914160019,13668.720312,47.98,47.98,43.75,43.810001
2022-01-03,19995.375589680043,13019.759999999998,42.07,44.25,41.540001,41.73
