Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-11-15,50841.44,49729.902332,42.880001,42.880001,42.16,42.650002
2021-11-16,1426.3588339999988,99809.597668,42.98,42.98,42.380001,42.799999
2021-11-17,1426.3588339999988,99203.28233199999,42.799999,42.799999,42.080002,42.540001
2021-11-18,1880.5500339999999,99366.522332,43.080002,43.080002,42.5,42.610001
2021-11-22,1880.5500339999999,98480.35999999999,42.470001,42.470001,42.150002,42.23
2021-11-23,1880.5500339999999,96404.88,42.060001,42.060001,40.439999,41.34
2021-11-24,1880.5500339999999,96078.402332,41.68,41.68,41.0,41.200001
2021-11-25,1880.5500339999999,96311.597668,41.459999,41.459999,41.200001,41.299999
2021-11-26,1880.5500339999999,97407.64000000001,41.639999,41.880001,41.209999,41.77
2021-11-29,1880.5500339999999,97057.837668,41.759998,41.759998,41.360001,41.619999
2021-11-30,1880.5500339999999,96801.31533600001,41.68,41.68,41.16,41.509998
2021-12-01,1880.5500339999999,96101.71766800001,41.43,41.43,40.73,41.209999
2021-12-02,1880.5500339999999,95565.35999999999,41.57,41.57,40.93,40.98
2021-12-03,1880.5500339999999,95425.435336,41.27,41.27,40.849998,40.919998
2021-12-06,1880.5500339999999,96311.597668,41.779999,41.779999,41.150002,41.299999
2021-12-07,1880.5500339999999,96125.04233200001,41.720001,41.720001,41.029999,41.220001
2021-12-08,1880.5500339999999,96708.04233200001,41.52,41.57,41.220001,41.470001
2021-12-09,1880.5500339999999,96428.195336,41.779999,41.779999,41.060001,41.349998
2021-12-10,1880.5500339999999,96241.64000000001,41.419998,41.419998,41.150002,41.27
2021-12-13,1880.5500339999999,96894.597668,41.68,41.68,41.400002,41.549999
2021-12-14,1880.5500339999999,96894.597668,41.459999,41.779999,41.459999,41.549999
2021-12-15,1880.5500339999999,96708.04233200001,41.779999,41.779999,41.029999,41.470001
2021-12-16,1880.5500339999999,97291.04233200001,42.169998,42.169998,41.599998,41.720001
2021-12-17,1880.5500339999999,98270.477668,41.880001,42.450001,41.880001,42.139999
2021-12-20,1880.5500339999999,97617.522332,42.560001,42.560001,41.720001,41.860001
2021-12-21,1880.5500339999999,97221.077668,42.119999,42.119999,41.380001,41.689999
2021-12-22,1880.5500339999999,96824.64000000001,41.959999,41.959999,41.23,41.52
2021-12-23,1880.5500339999999,97221.077668,42.220001,42.220001,41.619999,41.689999
2021-12-24,1880.5500339999999,97267.71766800001,42.080002,42.080002,41.43,41.709999
2021-12-27,1880.5500339999999,96987.88,42.040001,42.040001,41.52,41.59
2021-12-28,1880.5500339999999,97034.522332,41.919998,41.919998,41.279999,41.610001
2021-12-29,1880.5500339999999,96778.0,41.880001,41.880001,41.419998,41.5
2021-12-30,6518.3493253199995,96125.04233200001,41.779999,43.779999,41.150002,41.220001
2021-12-31,6518.3493253199995,96731.35999999999,41.919998,41.919998,41.360001,41.48
2022-01-03,55786.920127280006,48657.17999999999,42.07,44.25,41.540001,41.73
2022-01-04,7806.017795280008,96684.71766800001,41.779999,41.779999,41.150002,41.459999
2022-01-05,9206.089831240002,96917.922332,41.98,43.0,41.360001,41.560001
2022-01-06,9206.089831240002,96171.68466399999,41.82,41.82,41.18,41.240002
2022-01-07,9206.089831240002,95821.88,41.580002,41.580002,41.009998,41.09
2022-01-10,9206.089831240002,95775.24,41.439999,41.439999,40.759998,41.07
2022-01-11,59897.34544388001,48050.858834000006,41.580002,43.0,40.880001,41.209999
2022-01-12,11846.486609880005,96381.564664,41.68,41.68,41.209999,41.330002
2022-01-13,12273.828233200002,96591.435336,41.82,41.82,41.220001,41.419998
2022-01-14,12273.828233200002,96847.95766799999,41.32,41.779999,41.23,41.529999
2022-01-17,12273.828233200002,96847.95766799999,41.82,41.82,41.18,41.529999
2022-01-18,12273.828233200002,96824.64000000001,41.82,41.82,41.279999,41.52
2022-01-19,12273.828233200002,97011.195336,41.84,41.84,41.330002,41.599998
2022-01-20,61449.51583320002,49030.298834,42.439999,42.439999,41.68,42.049999
2022-01-21,12769.015833200021,97570.88,42.380001,42.380001,41.75,41.84
2022-01-24,12769.015833200021,98037.28233199999,42.139999,42.139999,41.66,42.040001
2022-01-25,12769.015833200021,98083.922332,42.32,42.32,41.740002,42.060001
2022-01-27,12769.015833200021,97524.24,42.16,42.16,41.599998,41.82
2022-01-28,12769.015833200021,96614.76,41.880001,41.880001,41.23,41.43
2022-01-31,12769.015833200021,96195.0,41.720001,41.720001,41.029999,41.25
2022-02-01,12769.015833200021,96894.597668,41.68,41.68,41.200001,41.549999
2022-02-02,12769.015833200021,96801.31533600001,41.919998,41.919998,41.119999,41.509998
2022-02-03,12769.015833200021,96917.922332,41.360001,41.880001,41.360001,41.560001
2022-02-04,12769.015833200021,97011.195336,41.849998,41.849998,41.470001,41.599998
2022-02-07,12769.015833200021,97081.162332,41.880001,41.880001,41.279999,41.630001
2022-02-08,12769.015833200021,97524.24,41.970001,41.98,41.52,41.82
2022-02-09,12769.015833200021,97920.68466399999,42.18,42.5,41.709999,41.990002
2022-02-10,12769.015833200021,98340.435336,41.880001,42.380001,41.880001,42.169998
2022-02-11,12769.015833200021,98387.077668,42.5,42.5,41.880001,42.189999
2022-02-14,62374.12110120003,50091.358834000006,43.32,43.32,42.330002,42.959999
2022-02-15,62902.23791384004,49811.521166000006,43.060001,43.5,42.610001,42.720001
2022-02-16,13673.716747840037,99436.477668,43.080002,43.080002,42.220001,42.639999
2022-02-17,64670.51356048004,50592.738834,43.080002,43.470001,42.560001,43.389999
2022-02-18,65599.97394980006,50347.88,43.849998,43.849998,39.5,43.18
2022-02-21,16635.373881800042,100509.195336,43.639999,48.799999,42.82,43.099998
2022-02-22,17078.456281800034,101162.162332,43.740002,43.740002,43.18,43.380001
2022-02-23,17078.456281800034,100485.88,43.720001,43.720001,42.880001,43.09
2022-02-24,120290.71392648004,0,43.970001,44.82,43.220001,44.619999
2022-02-25,19000.29509248004,101721.837668,44.619999,44.619999,43.25,43.619999
2022-02-28,19522.366258480048,101651.88,43.990002,44.209999,43.549999,43.59
2022-03-02,122919.94827984004,0,44.200001,45.849998,43.810001,44.389999
2022-03-03,72023.91399448004,51770.402332,44.849998,44.91,43.400002,44.400002
2022-03-04,124690.00437312004,0,44.400002,45.52,44.400002,44.650002
2022-03-07,124690.00437312004,0,45.25,46.200001,45.25,46.0
2022-03-08,18455.744373120055,107108.76,46.400002,46.470001,45.18,45.93
2022-03-09,20352.287241120066,106479.12,47.599998,47.599998,45.400002,45.66
2022-03-10,128365.32881976006,0,43.650002,46.799999,43.650002,44.799999
2022-03-11,23285.409985760067,105592.95766799999,45.880001,45.880001,44.84,45.279999
2022-03-14,24563.47878576006,104100.477668,45.880001,45.880001,44.52,44.639999
2022-03-15,26056.627517760055,103377.564664,44.98,45.450001,44.009998,44.330002
2022-03-16,26056.627517760055,103144.35999999999,44.5,44.5,43.380001,44.23
2022-03-17,29444.185583800063,103144.35999999999,44.779999,46.25,43.700001,44.23
2022-03-21,31240.59553912004,102934.477668,44.82,45.48,43.77,44.139999
2022-03-22,31667.85193912004,103354.24,44.959999,44.959999,44.16,44.32
2022-03-23,31667.85193912004,103587.435336,44.869999,44.869999,43.720001,44.419998
2022-03-24,32679.003251800037,103960.564664,45.27,45.27,44.380001,44.580002
2022-03-25,34671.33285376004,104450.28233199999,45.419998,45.610001,44.0,44.790001
2022-03-28,35243.872853760025,103750.68466399999,45.240002,45.240002,44.27,44.490002
2022-03-29,35243.872853760025,103027.76,44.84,44.84,43.880001,44.18
2022-03-30,35243.872853760025,102864.522332,44.639999,44.639999,43.880001,44.110001
2022-03-31,35243.872853760025,102887.837668,44.48,44.48,43.990002,44.119999
2022-04-01,35243.872853760025,103937.24,43.150002,44.900002,43.150002,44.57
2022-04-04,35243.872853760025,103121.04233200001,44.720001,44.720001,43.880001,44.220001
2022-04-05,35243.872853760025,103330.922332,44.580002,44.580002,44.0,44.310001
2022-04-06,35243.872853760025,103750.68466399999,44.580002,44.580002,44.130001,44.490002
2022-04-07,35243.872853760025,104100.477668,44.779999,44.779999,41.799999,44.639999
2022-04-08,35243.872853760025,104147.12,45.080002,45.080002,44.43,44.66
2022-04-11,35798.38808776004,105453.04233200001,45.18,45.279999,44.560001,45.220001
2022-04-12,88654.76847708004,52703.201166,44.880001,45.580002,44.880001,45.200001
2022-04-13,89355.86844308005,53321.17999999999,46.299999,46.299999,44.299999,45.73
2022-04-18,89355.86844308005,53857.538834,45.799999,46.290001,45.799999,46.189999
