Date,Cash Available,Cash Invested,Open,High,Low,Close
2009-01-02,10000,0,30.6,30.945,30.299999,30.556
2010-01-04,12437.873566520004,0,52.171001,52.470001,52.105,52.393002
2011-01-03,6898.194820960007,10133.057999999999,62.09,62.285999,61.904999,62.166
2012-01-02,6898.194820960007,7690.014163000001,47.299999,47.299999,46.75,47.178001
2013-01-01,6898.194820960007,9837.320905999999,60.351662,60.351662,60.351662,60.351662
2014-01-01,17612.913661850012,0,63.599998,63.928001,63.599998,63.719002
2015-01-01,5458.196583780007,13661.682489,83.849998,83.969002,83.0,83.814003
2016-01-01,5624.466912600004,13122.477511,80.199997,80.75,80.0,80.505997
2017-01-02,6426.560947190004,13612.293326,84.0,84.0,83.040001,83.511002
2018-01-01,4844.401932740002,17573.682489,108.499001,108.595001,107.5,107.814003
2019-01-01,25506.731802289996,0,113.675003,114.099998,113.010002,113.984001
2020-01-01,33085.45625348,0,128.949997,131.0,128.949997,129.419998
2021-01-01,39856.28422062996,24379.911141,159.679993,159.679993,147.649994,149.570007
2022-01-03,139503.20108054162,0,190.0,190.949997,185.300003,190.720001
